股票代码,代码,股票名称,成交价,价格变动,涨跌幅,买入价,卖出价,昨收,开盘价,最高价,最低价,成交量,成交额,时间,市盈率,市净率,总市值,流通市值,换手率
bj833266,833266,生物谷,10.790,-0.83,-7.143,10.790,10.800,11.620,11.350,11.580,10.770,6528966,72685476,15:30:00,-26.975,1.315,133796.007553,101726.885624,6.92516
bj833284,833284,灵鸽科技,10.230,-0.12,-1.159,10.230,10.280,10.350,10.350,10.680,10.190,1837194,19131592,15:30:00,19.53,3.928,107195.714835,26008.041015,7.22642
bj833346,833346,威贸电子,13.250,-1.17,-8.114,13.250,13.400,14.420,13.730,14.410,13.160,6581980,90659481,15:30:00,28.804,2.54,106904.448975,37598.336475,23.1955
bj833394,833394,民士达,15.550,-0.51,-3.176,15.540,15.550,16.060,15.830,16.290,15.550,1718222,27391458,15:30:00,25.492,3.641,227418.75,65792.05,4.06103
bj833427,833427,华维设计,11.470,0.79,7.397,11.460,11.470,10.680,10.550,12.000,10.100,4972805,54811541,15:30:00,35.844,3.391,118249.965,45161.521494,12.62979
bj833429,833429,康比特,11.050,-0.17,-1.515,11.050,11.060,11.220,11.170,11.580,10.980,1543536,17459574,15:30:00,20.463,1.785,137572.5,54895.074,3.10703
bj833454,833454,同心传动,7.050,-0.12,-1.674,7.030,7.050,7.170,7.080,7.240,7.050,1157486,8276591,15:30:00,38.399,2.463,74095.5,42294.624375,1.92939
bj833455,833455,汇隆活塞,4.790,-0.11,-2.245,4.780,4.790,4.900,4.880,4.980,4.740,1809267,8812126,15:30:00,17.741,2.579,84998.55,24361.489261,3.55741
bj833509,833509,同惠电子,8.840,-0.26,-2.857,8.830,8.840,9.100,8.870,9.150,8.830,1142447,10238460,15:30:00,16.679,4.406,144172.838264,72215.200252,1.39849
bj833523,833523,德瑞锂电,13.560,-0.12,-0.877,13.560,13.570,13.680,13.700,14.240,13.500,1559004,21656003,15:30:00,23.607,2.433,105665.12028,62512.062396,3.38176
bj833533,833533,骏创科技,15.160,-0.57,-3.624,15.160,15.180,15.730,15.700,15.880,15.000,1504806,23089428,15:30:00,12.847,5.45,151829.0676,53161.32186,4.29125
bj833575,833575,康乐卫士,20.370,0.01,0.049,20.370,20.430,20.360,20.300,20.940,20.020,1758257,36177542,15:30:00,-8.895,5.837,572274.78,278112.99516,1.28781
bj833580,833580,科创新材,7.130,0.1,1.422,7.120,7.130,7.030,7.030,7.590,7.030,1787976,13050701,15:30:00,39.611,1.865,61318.0,39859.238993,3.19832
bj833751,833751,惠同新材,8.970,-0.14,-1.537,8.960,8.970,9.110,8.980,9.500,8.860,3949425,36224324,15:30:00,17.588,2.179,77841.66,38009.9265,9.32029
bj833781,833781,瑞奇智造,5.440,-0.16,-2.857,5.430,5.440,5.600,5.610,5.660,5.410,2279255,12652538,15:30:00,10.667,1.965,76440.434176,49890.917824,2.48525
bj833819,833819,颖泰生物,4.130,-0.04,-0.959,4.120,4.130,4.170,4.150,4.220,4.100,3193460,13241432,15:30:00,4.802,0.859,506255.4,498933.21975,0.26434
bj833873,833873,中设咨询,3.990,-0.23,-5.45,3.990,4.000,4.220,4.220,4.220,3.990,9180349,37569657,15:30:00,-21.0,1.472,61201.413798,43563.020298,8.40841
bj833914,833914,远航精密,10.150,-0.27,-2.591,10.130,10.150,10.420,10.430,10.600,10.000,1640710,16885377,15:30:00,14.71,1.168,101500.0,61102.74625,2.72544
bj833943,833943,优机股份,12.100,-0.12,-0.982,12.100,12.110,12.220,12.160,12.680,12.020,616688,7604554,15:30:00,13.596,2.293,122840.86738,49854.55068,1.49674
bj834014,834014,特瑞斯,9.590,-0.16,-1.641,9.590,9.620,9.750,9.850,9.890,9.550,768137,7468672,15:30:00,11.282,1.564,120551.32516,41357.973055,1.78114
bj834021,834021,流金科技,4.910,0.07,1.446,4.910,4.930,4.840,4.930,5.120,4.870,20133614,100821746,15:30:00,70.143,2.301,151718.991653,113370.900815,8.7197
bj834033,834033,康普化学,38.600,-0.4,-1.026,38.180,38.600,39.000,38.630,39.350,37.910,245700,9498105,15:30:00,27.571,5.401,353740.05,123921.1312,0.76533
bj834058,834058,华洋赛车,24.590,-0.27,-1.086,24.580,24.590,24.860,24.700,26.200,24.100,1415614,35679099,15:30:00,15.662,4.031,137704.0,27645.041928,12.59175
bj834062,834062,科润智控,6.800,-0.43,-5.947,6.800,6.810,7.230,7.230,7.280,6.730,10580411,74639499,15:30:00,18.378,1.949,125178.66836,73027.85268,9.85197
bj834261,834261,一诺威,8.530,-0.32,-3.616,8.510,8.530,8.850,8.750,8.920,8.500,862668,7491649,15:30:00,11.685,1.767,248336.234044,105610.349676,0.69676
bj834407,834407,驰诚股份,12.890,0.19,1.496,12.890,13.000,12.700,12.680,14.320,12.510,2484642,33287644,15:30:00,25.78,3.45,84661.52,18207.3828,17.59014
bj834415,834415,恒拓开源,5.580,-0.31,-5.263,5.580,5.620,5.890,5.890,5.910,5.580,3405803,19613696,15:30:00,111.6,1.543,78405.409746,76940.898012,2.47
bj834475,834475,三友科技,8.720,-0.17,-1.912,8.720,8.810,8.890,8.900,9.020,8.700,754868,6700589,15:30:00,18.957,2.483,89781.12,39694.310256,1.65829
bj834599,834599,同力股份,9.160,-0.08,-0.866,9.150,9.160,9.240,9.170,9.260,9.090,2524307,23167970,15:30:00,8.791,1.836,414512.9,191593.410592,1.20686
bj834639,834639,晨光电缆,4.850,-0.15,-3.0,4.830,4.850,5.000,4.930,5.070,4.850,2252534,11195049,15:30:00,13.108,1.167,97776.0,42829.504645,2.55076
bj834682,834682,球冠电缆,7.200,-0.19,-2.571,7.200,7.220,7.390,7.390,7.520,7.180,2396185,17652049,15:30:00,13.846,1.469,149760.0,57551.832,2.99774
bj834765,834765,美之高,8.200,-0.26,-3.073,8.190,8.200,8.460,8.410,8.700,8.200,2042529,17243718,15:30:00,22.162,1.751,57082.69608,36077.7819,4.6424
bj834770,834770,艾能聚,8.850,-0.54,-5.751,8.840,8.850,9.390,9.130,9.620,8.850,6755922,62247757,15:30:00,15.259,2.083,115166.974875,58245.693555,10.26512
bj834950,834950,迅安科技,19.320,-1.21,-5.894,19.320,19.400,20.530,20.490,20.880,19.080,520204,10476999,15:30:00,16.8,3.535,90804.0,23184.0,4.33503
bj835174,835174,五新隧装,23.830,-0.76,-3.091,23.820,23.830,24.590,24.190,25.380,23.520,3724687,90570390,15:30:00,27.709,3.226,214490.774994,118829.212455,7.46948
bj835179,835179,凯德石英,18.150,-0.37,-1.998,18.120,18.150,18.520,18.370,18.880,18.070,494352,9127883,15:30:00,24.2,1.976,136125.0,110657.48628,0.81083
bj835184,835184,国源科技,7.580,-0.22,-2.821,7.560,7.580,7.800,7.740,8.000,7.520,3074735,23897985,15:30:00,-11.98,1.714,101412.82,67027.16572,3.47717
