房源的标题,所在区,地址,价格,类型,面积,建造时间
融创都会中心,长安,长安区谈固北大街与和平东路交口西北角,20500,住宅,89-177㎡,在售
润江云璟,长安,中山路与谈固东街交口东北角,23000,住宅,103-147㎡,在售
中海·云锦,长安,建设大街与和平路交汇处北行500米,25000,住宅,120-145㎡,在售
东胜·天御,长安,长安区建设大街与和平路交口西北角,24500,住宅,168-300㎡,在售
玖筑翰府,开发,南二环东延线与燕山大街交叉口西北角,11300,住宅,55-140㎡,在售
荣鼎·奥莱I天泰公元,正定,河北大道与奥体街交口路东北角（奥体街...,9500,住宅,89-139㎡,在售
永威枫林上院,栾城,裕翔街与衡井线交口北行200米路东,8800,住宅,84-200㎡,在售
利航观棠,桥西,南二环与红旗大街交口南行50米路东,18000,住宅,113-197㎡,在售
禹洲·嘉誉山,新华,新华区西三庄街与天翼路西行500米路南,16500,住宅,90-143㎡,在售
鸿昇·燕园,裕华,槐安路与翟营大街交汇处西南角,22000,住宅,110-161㎡,在售
兆鑫云著,鹿泉,向阳大街龙泉东路交口东北角,8900,住宅,49.46-122.3㎡,在售
金地世纪城·格林郡,藁城,东三环与世纪大道东南角金地世纪城·格...,9300,住宅,89-110㎡,在售
华普城,桥西,新华路,8800,住宅,81.62-174.96㎡,在售
润都御园,开发,昆仑大街与北二环东延线交口西北角,12800,住宅,74.85-124.48㎡,在售
石家庄中央商务区,新华,和平路与解放大街交口西南,21000,住宅,104-218㎡,在售
燕港美域,桥西,槐安路与时光街交口西行200米路北,17000,住宅,50.84-138.35㎡,在售
远洋·风景长安,长安,石津路与石兆大街交口北行800米路东,13000,住宅,85-135㎡,在售
弘石湾·尚府,新华,新华区水上公园北门对面，联盟路与东三...,25000,住宅,140.12-192.82㎡,在售
融创公园壹号,开发,珠江大道与昆仑南大街交叉口东南角,12000,住宅,72-135㎡,在售
融创中心,裕华,建华南大街与仓盛路交汇处西行150米路...,15000,住宅,108-236㎡,在售
想象国际,开发,珠峰大街与闽江道交口,17500,住宅,98.73-134.09㎡,在售
融创·未来中心,开发,珠江大道与祁连街交口南行约300米路西,17000,住宅,117-222㎡,在售
铂宫后海,长安,古城西路与育合街交口,14500,住宅,179.87-308㎡,在售
安联生态城,长安,石家庄市长安区东二环与北二环交叉口以...,12000,住宅,90.89-144.93㎡,在售
美好时光,裕华,东二环与槐中路交口东行300米路南,11000,住宅,79.69-128.81㎡,在售
世界壹號,开发,昆仑大街与长江大道交叉口西北角,19000,住宅,182-210㎡,在售
金盛悦府,开发,昆仑南大街与漓江道交口西南角,15800,住宅,101.05-137.72㎡,在售
龙湖天宸原著,鹿泉,西山山前大道608号,11000,住宅,129-202㎡,在售
龙湖天璞,桥西,胜利大街与仓盛路交口西行700米路南,17000,住宅,88-143㎡,在售
福地新园,桥西,新石北路与中华大街交口东行200米路南,14800,住宅,81.5-134.85㎡,在售
傲湖小区,开发,开发区学苑路以南、珠海大道以西、东二...,6900,住宅,2000000㎡,在售
正基九宸·帝壹院,开发,南二环东延线与天山大街交口南行1000米,20000,住宅,93.85-253㎡,在售
同祥四季,开发,海河道与昆仑大街交口西北角,12000,住宅,84-110㎡,在售
