电影名称,电影类型,电影评分,电影标语
少年派的奇幻漂流 / LifeofPi / 少年Pi的奇幻漂流/漂流少年Pi,剧情 奇幻 冒险,9.1,瑰丽壮观、无人能及的冒险之旅。
钢琴家 / ThePianist / 钢琴战曲(港)/战地琴人(台),剧情 传记 战争 音乐,9.3,音乐能化解仇恨。
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒/齐天大圣东游记,喜剧 爱情 奇幻 古装,9.0,旷古烁今。
指环王2：双塔奇兵 / TheLordoftheRings:TheTwoTowers / 魔戒二部曲：双城奇谋/指环王II：双塔,剧情 动作 奇幻 冒险,9.2,承前启后的史诗篇章。
闻香识女人 / ScentofaWoman / 女人香/女人的芳香,剧情,9.1,史上最美的探戈。
死亡诗社 / DeadPoetsSociety / 暴雨骄阳(港)/春风化雨(台),剧情,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书 / GreenBook / 绿簿旅友(港)/幸福绿皮书(台),剧情 喜剧 传记 音乐,8.9,去除成见，需要勇气。
罗马假日 / RomanHoliday / 金枝玉叶(港)/罗马假期(台),喜剧 剧情 爱情,9.1,爱情哪怕只有一天。
大闹天宫 / 大闹天宫上下集/TheMonkeyKing,剧情 动画 奇幻 古装,9.4,经典之作，历久弥新。
天堂电影院 / NuovoCinemaParadiso / 星光伴我心(港)/新天堂乐园(台),剧情 爱情,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
黑客帝国 / TheMatrix / 22世纪杀人网络(港)/廿二世纪杀人网络(港),动作 科幻,9.1,视觉革命。
指环王1：护戒使者 / TheLordoftheRings:TheFellowshipoftheRing / 指环王1：魔戒再现/指环王I：护戒使者,剧情 动作 奇幻 冒险,9.1,传说的开始。
教父2 / TheGodfather:PartII / 教父续集(港)/教父II,剧情 犯罪,9.3,优雅的孤独。
狮子王 / TheLionKing / 狮子王3D,动画 冒险 歌舞,9.1,动物版《哈姆雷特》。
辩护人 / 변호인 / 逆权大状(港)/正义辩护人(台),剧情,9.2,电影的现实意义大过电影本身。
饮食男女 / 飲食男女 / EatDrinkManWoman,剧情 家庭,9.2,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部 / FightClub / 搏击会(港)/斗阵俱乐部(台),剧情 动作 悬疑 惊悚,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
本杰明·巴顿奇事 / TheCuriousCaseofBenjaminButton / 奇幻逆缘(港)/班杰明的奇幻旅程(台),剧情 爱情 奇幻,9.0,在时间之河里感受溺水之苦。
美丽心灵 / ABeautifulMind / 有你终生美丽(港)/美丽境界(台),传记 剧情,9.1,爱是一切逻辑和原由。
穿条纹睡衣的男孩 / TheBoyintheStripedPajamas / 穿条纹衣服的男孩/穿条纹衣的男孩,剧情 战争,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴 / DasLebenderAnderen / 窃听者(港)/他人的生活,剧情 悬疑,9.2,别样人生。
情书 / LoveLetter / WhenICloseMyEyes/LettersofLove,剧情 爱情,8.9,暗恋的极致。
"两杆大烟枪 / Lock,StockandTwoSmokingBarrels / 够姜四小强(港)/两根枪管(台)",剧情 喜剧 犯罪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说 / Malèna / 真爱伴我行(台)/玛莲娜,剧情 战争 情色,8.9,美丽无罪。
音乐之声 / TheSoundofMusic / 仙乐飘飘处处闻(港)/真善美(台),剧情 传记 爱情 歌舞,9.1,用音乐化解仇恨，让歌声串起美好。
看不见的客人 / Contratiempo / 死无对证(港)/布局(台),剧情 犯罪 悬疑 惊悚,8.8,你以为你以为的就是你以为的。
阿凡达 / Avatar / ,动作 科幻 冒险,8.8,绝对意义上的美轮美奂。
哈利·波特与死亡圣器(下) / HarryPotterandtheDeathlyHallows:Part2 / 哈利波特7：死神的圣物2(港/台),奇幻 冒险,9.0,10年的完美句点。
拯救大兵瑞恩 / SavingPrivateRyan / 雷霆救兵(港)/抢救雷恩大兵(台),剧情 战争,9.1,美利坚精神输出大片No1.
飞越疯人院 / OneFlewOvertheCuckoo'sNest / 飞越杜鹃窝(台)/飞越喜鹊巢,剧情,9.1,自由万岁。
小鞋子 / بچههایآسمان / 天堂的孩子/小童鞋,剧情 儿童 家庭,9.2,奔跑的孩子是天使。
沉默的羔羊 / TheSilenceoftheLambs / 沉默的羔羊,剧情 犯罪 惊悚,8.9,安东尼·霍普金斯的顶级表演。
功夫 / 功夫3D/KungFuHustle,动作 喜剧 犯罪 奇幻,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
布达佩斯大饭店 / TheGrandBudapestHotel / 布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),剧情 喜剧 冒险,8.9,小清新的故事里注入了大历史的情怀。
禁闭岛 / ShutterIsland / 不赦岛(港)/隔离岛(台),剧情 悬疑 惊悚,8.9,昔日翩翩少年，今日大腹便便。
蝴蝶效应 / TheButterflyEffect / 蝴蝶效应,剧情 悬疑 科幻 惊悚,8.9,人的命运被自己瞬间的抉择改变。
哈利·波特与阿兹卡班的囚徒 / HarryPotterandthePrisonerofAzkaban / 哈利波特3：阿兹卡班的逃犯(港/台),奇幻 冒险,8.9,不一样的导演，不一样的哈利·波特。
致命魔术 / ThePrestige / 死亡魔法(港)/顶尖对决(台),剧情 悬疑 惊悚,8.9,孪生蝙蝠侠大战克隆金刚狼。
心灵捕手 / GoodWillHunting / 骄阳似我(港)/心灵捕手,剧情,8.9,人生中应该拥有这样的一段豁然开朗。
超脱 / Detachment / 人间师格(台),剧情,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。
低俗小说 / PulpFiction / 危险人物(港)/黑色追缉令(台),剧情 喜剧 犯罪,8.9,故事的高级讲法。
摩登时代 / ModernTimes / TheMasses/LesTempsmodernes,剧情 喜剧 爱情,9.3,大时代中的人生，小人物的悲喜。
海豚湾 / TheCove / 血色海湾(台)/海湾,纪录片,9.3,海豚的微笑，是世界上最高明的伪装。
春光乍泄 / 春光乍洩 / 一起快乐/HappyTogether,剧情 爱情 同性,9.0,爱情纠缠，男女一致。
喜剧之王 / 喜劇之王 / KingofComedy,喜剧 剧情 爱情,8.8,我是一个演员。
美国往事 / OnceUponaTimeinAmerica / 四海兄弟(台)/义薄云天(港),犯罪 剧情,9.2,往事如烟，无处祭奠。
致命ID / Identity / 杀人游戏/致命身份,剧情 悬疑 惊悚,8.9,最不可能的那个人永远是最可能的。
杀人回忆 / 살인의추억 / 谋杀回忆/杀手回忆录,剧情 动作 犯罪 悬疑 惊悚,8.9,关于连环杀人悬案的集体回忆。
哈利·波特与密室 / HarryPotterandtheChamberofSecrets / 哈利波特2：消失的密室(港/台),奇幻 冒险,8.9,魔法的密室之门已打开...
红辣椒 / パプリカ / 盗梦侦探(港/台),动画 悬疑 科幻 惊悚,9.1,梦的勾结。
七宗罪 / Se7en / 火线追缉令(台)/7宗罪,剧情 犯罪 悬疑 惊悚,8.8,警察抓小偷，老鼠玩死猫。
加勒比海盗 / PiratesoftheCaribbean:TheCurseoftheBlackPearl / 加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台),动作 冒险 奇幻,8.8,约翰尼·德普的独角戏。
一一 / Yiyi/Yiyi:AOneandaTwo,剧情 爱情 家庭,9.1,我们都曾经是一一。
狩猎 / Jagten / 诬网(港)/谎言的烙印(台),剧情,9.1,人言可畏。
唐伯虎点秋香 / 唐伯虎點秋香 / FlirtingScholar,喜剧 爱情 古装,8.7,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物 / 7번방의선물 / 戆爸的礼物(港)/7号囚房的礼物,剧情 喜剧 家庭,8.9,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)/令人讨厌的松子的一生(台),剧情 歌舞,8.9,以戏谑来戏谑戏谑。
蝙蝠侠：黑暗骑士崛起 / TheDarkKnightRises / 蝙蝠侠前传3：黑暗骑士崛起/黑暗骑士：黎明升起(台),剧情 动作 科幻 犯罪 惊悚,8.9,诺兰就是保证。
爱在黎明破晓前 / BeforeSunrise / 情留半天(港)/爱在黎明破晓时(台),剧情 爱情,8.8,缘分是个连绵词，最美不过一瞬。
请以你的名字呼唤我 / CallMebyYourName / 以你的名字呼唤我(港/台),剧情 爱情 同性,8.8,沉醉在电影的情感和视听氛围中无法自拔。
甜蜜蜜 / Comrades:AlmostaLoveStory,剧情 爱情,8.9,相逢只要一瞬间，等待却像是一辈子。
断背山 / BrokebackMountain / 断臂山/BBM,剧情 爱情 同性 家庭,8.8,每个人心中都有一座断背山。
剪刀手爱德华 / EdwardScissorhands / 幻海奇缘(港)/剪刀手爱德华,剧情 奇幻 爱情,8.7,浪漫忧郁的成人童话。
入殓师 / おくりびと / 礼仪师之奏鸣曲(港)/礼仪师(台),剧情,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感 / TheSixthSense / 鬼眼(港)/灵异第六感(台),剧情 悬疑 惊悚,8.9,深入内心的恐怖，出人意料的结局。
重庆森林 / 重慶森林 / ChungkingExpress,剧情 爱情,8.8,寂寞没有期限。
超能陆战队 / BigHero6 / 大英雄联盟(港)/大英雄天团(台),喜剧 动作 科幻 动画 冒险,8.7,Balalala~~~
勇敢的心 / Braveheart / 惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),动作 传记 剧情 历史 战争,8.9,史诗大片的典范。
爱在日落黄昏时 / BeforeSunset / 日落巴黎(港)/爱在日落巴黎时(台),剧情 爱情,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
幽灵公主 / もののけ姫 / 魔法公主(港)/魔法公主(台),动画 奇幻 冒险,8.9,人与自然的战争史诗。
菊次郎的夏天 / 菊次郎の夏 / 菊次郎之夏/Kikujirônonatsu,剧情 喜剧,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
寄生虫 / 기생충 / 寄生上流(台)/上流寄生族(港),剧情,8.8,
借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),动画 奇幻 冒险,8.9,曾经的那段美好会沉淀为一辈子的记忆。
消失的爱人 / GoneGirl / 失踪的女孩/失踪女孩,剧情 犯罪 悬疑 惊悚,8.7,年度最佳date movie。
无人知晓 / 誰も知らない / 谁知赤子心(港)/无人知晓的夏日清晨(台),剧情,9.1,我的平常生活就是他人的幸福。
阳光灿烂的日子 / IntheHeatoftheSun,剧情 爱情,8.8,一场华丽的意淫。
完美的世界 / APerfectWorld / 强盗保镳,剧情 犯罪,9.1,坏人的好总是比好人的好来得更感人。
天使爱美丽 / Lefabuleuxdestind'AméliePoulain / 艾蜜莉的异想世界(台)/天使艾米莉,剧情 喜剧 爱情,8.7,法式小清新。 
倩女幽魂 / 倩女幽魂(87版)/倩女幽魂：妖魔道,爱情 奇幻 武侠 古装,8.8,两张绝世的脸。 
时空恋旅人 / AboutTime / 回到最爱的一天(港)/真爱每一天(台),喜剧 爱情 奇幻,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
小森林夏秋篇 / リトル・フォレスト夏・秋 / 小森食光/夏秋篇(台),剧情,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
未麻的部屋 / PerfectBlue / 蓝色恐惧(港/台),动画 奇幻 惊悚,9.1,好的剧本是，就算你猜到了结局也猜不到全部。
哈利·波特与火焰杯 / HarryPotterandtheGobletofFire / 哈利波特4：火杯的考验(港/台),悬疑 奇幻 冒险,8.8,
侧耳倾听 / 耳をすませば / 心之谷(台)/梦幻街少女(港),剧情 爱情 动画,8.9,少女情怀总是诗。
驯龙高手 / HowtoTrainYourDragon / 驯龙记(港),动画 奇幻 冒险,8.8,和谐的生活离不开摸头与被摸头。
幸福终点站 / TheTerminal / 机场客运站(港)/航站情缘(台),喜剧 剧情 爱情,8.8,有时候幸福需要等一等。 
一个叫欧维的男人决定去死 / EnmansomheterOve / 明天别再来敲门(台)/想死冇咁易(港),剧情,8.9,惠及一生的美丽。
"怪兽电力公司 / Monsters,Inc. / 怪兽公司(港)/怪物公司",儿童 喜剧 动画 奇幻 冒险,8.8,不要给它起名字，起了名字就有感情了。
教父3 / TheGodfather:PartIII / 教父第三集/教父III,剧情 犯罪,9.0,任何信念的力量，都无法改变命运。
小森林冬春篇 / リトル・フォレスト冬・春 / 小森食光/冬春篇(台),剧情,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
玩具总动员3 / ToyStory3 / 反斗奇兵3(港)/玩具的故事3,喜剧 动画 奇幻 冒险,8.9,跨度十五年的欢乐与泪水。
傲慢与偏见 / Pride&Prejudice / 傲慢与偏见2005/PrideAndPrejudice,剧情 爱情,8.7,爱是摈弃傲慢与偏见之后的曙光。
新世界 / 신세계 / 暗黑新世界(台)/NewWorld,剧情 犯罪,8.9,要做就做得狠一点，这样才能活下去。
茶馆 / TheTeahouse,剧情 历史,9.6,
萤火之森 / 蛍火の杜へ / 萤火之社/Hotarubinomorie,剧情 爱情 动画 奇幻,8.9,触不到的恋人。
釜山行 / 부산행 / 尸杀列车(港)/尸速列车(台),动作 惊悚 灾难,8.6,揭露人性的丧尸题材力作。
被解救的姜戈 / DjangoUnchained / 被解放的姜戈/决杀令(台),剧情 动作 西部 冒险,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。
神偷奶爸 / DespicableMe / 卑鄙的我/坏蛋奖门人(港),喜剧 动画 冒险,8.7,Mr. I Don't Care其实也有Care的时候。
色，戒 / 色|戒/色·戒,剧情 爱情 情色,8.7,假戏真情，爱欲深海
告白 / 自白/母亲,剧情 悬疑,8.8,没有一人完全善，也没有一人完全恶。
哪吒闹海 / PrinceNezha'sTriumphAgainstDragonKing/NezhaConquerstheDragonKing,冒险 动画 奇幻,9.2,想你时你在闹海。
玛丽和马克思 / MaryandMax / 巧克力情缘(台)/同是天涯寂寞客,剧情 喜剧 动画,9.0,你是我最好的朋友，你是我唯一的朋友 。
九品芝麻官 / 九品芝麻官之白面包青天/HailtheJudge,剧情 喜剧 古装,8.7,
大鱼 / BigFish / 大鱼奇缘(港)/大智若鱼(台),剧情 家庭 奇幻 冒险,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
喜宴 / 囍宴 / TheWeddingBanquet,剧情 喜剧 爱情 同性 家庭,9.0,中国家庭的喜怒哀乐忍。
模仿游戏 / TheImitationGame / 解码游戏(港)/模拟游戏,剧情 传记 战争 同性,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家 / ReadyPlayerOne / 玩家一号/挑战者1号(港),动作 科幻 冒险,8.6,写给影迷，动漫迷和游戏迷的一封情书。
花样年华 / 花樣年華 / IntheMoodforLove,剧情 爱情,8.8,偷情本没有这样美。
头脑特工队 / InsideOut / 玩转脑朋友(港)/脑筋急转弯(台),喜剧 动画 冒险,8.8,愿我们都不用长大，每一座城堡都能永远存在。
射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就/大英雄(日本),喜剧 奇幻 武侠 古装,8.7,百看不厌。 
我是山姆 / IAmSam / 不一样的爸爸(港)/他不笨，他是我爸爸(台),剧情 家庭,9.0,爱并不需要智商 。
七武士 / 七人の侍 / 七侠四义(港)/七剑客(港),动作 冒险 剧情,9.3,时代悲歌。
阳光姐妹淘 / 써니 / 阳光姊妹淘(港)/桑尼,剧情 喜剧,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
血战钢锯岭 / HacksawRidge / 钢锯岭/钢铁英雄(台),剧情 传记 历史 战争,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
惊魂记 / Psycho / 精神病患者/触目惊心(港),悬疑 惊悚 恐怖,9.0,故事的反转与反转，分裂电影的始祖。
恐怖直播 / 더테러라이브 / 死亡“动”新闻(港)/恐怖攻击直播(台),剧情 犯罪 悬疑,8.7,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命 / TheMatrixRevolutions / 22世纪杀人网络3：惊变世纪(港)/骇客任务完结篇：最后战役(台),动作 科幻,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。 / 君の名は。 / 你的名字/君之名,剧情 爱情 动画,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
"三块广告牌 / ThreeBillboardsOutsideEbbing,Missouri / 广告牌杀人事件(港)/意外(台)",剧情 犯罪,8.7,怼天怼地，你走后，她与世界为敌。
电锯惊魂 / Saw / 恐惧斗室(港)/夺魂锯(台),悬疑 惊悚 恐怖,8.7,真相就在眼前。
